1	[title26][sentence]\nWhy would you want to do a wretched thing\nlike that?	[title26][sentence]\n你幹嘛沒事找罪受，\n做這種缺德事？
406	[title32][sentence]\nYou press the "PLAY" button, but nothing\nhappens.  Apparently there is no tape\ninside.	[title32][sentence]\n你按下「播放」鍵，卻\n什麼都沒發生，看來\n裡面沒有錄音帶。
407	[title32][sentence]\nYou press the "EJECT" button, but nothing\nhappens.  Apparently there is no tape inside.	[title32][sentence]\n你按下「退出」鍵，卻\n什麼都沒發生，看來\n裡面沒有錄音帶。
408	[title32][sentence]\nThe tape player has no obvious screws\nor other latching devices.  You can't\neven find a battery slot, so it must\nhave some permanent internal power source.	[title32][sentence]\n這台錄音機看不出有螺絲\n或其他卡榫，連電池槽\n都找不到，想必內建了\n某種永久電源。
409	[title32][sentence]\nYou pop open the case and remove the\nfishing line cassette.  There is a LOT\nof fishing line on this cassette--probably\nseveral hundred yards of micro thin fiber.	[title32][sentence]\n你打開機殼，取出釣魚線\n捲軸。這捲軸上的釣魚線\n多到誇張——大概有\n好幾百碼的超細纖維。
428	[title32][sentence]\nYou have already removed all of the fishing\nline from this rod.	[title32][sentence]\n你已經把這根釣竿上的\n釣魚線全部拆下來了。
410	[title32][sentence]\nYou gently stroke the plant stalk a few\ntimes, but nothing happens.  Perhaps you'd\nbetter think of something more productive\nto do.	[title32][sentence]\n你輕輕撫摸植物莖幾下，\n什麼事也沒發生。你或許\n該想點更有建設性的\n事來做。
411	[title32][sentence]\nYou unscrew the cap of the penlight.  Inside,\nyou find a pair of "DURAFAIL" cells.  There\nis no apparent corrosion, but the cells have\ncompletely lost their charge.	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n裡面是一對「勁掛」電池。\n看不出生鏽，不過電力\n已經完全耗盡。
429	[title32][sentence]\nYou unscrew the cap of the penlight.  Inside,\nyou find a pair of "DURAFAIL" cells.  This must\nbe your lucky day, because not only are there\nno signs of corrosion, but the cells appear to\nbe fully charged.	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n裡面是一對「勁掛」電池。\n今天肯定是你的幸運日，\n不只沒生鏽，電力看起來\n還是滿的。
412	[title32][sentence]\nYou unscrew the cap of the penlight and once\nagain remove the "DURAFAIL" cells.	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n再次取出「勁掛」電池。
413	[title32][sentence]\nYou unscrew the cap of the penlight and\nremove the phone cells that you put there.	[title32][sentence]\n你旋開筆型手電筒的蓋子，\n取出你先前放進去的\n電話電池。
414	[title32][sentence]\nYou open the battery slot on the handset and\nremove your "DURAFAIL" cells.  Leaving them in\nthe phone seems to have paid off, because they\neach now show a full charge.	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。放在\n電話裡似乎有回報，兩顆\n電池現在都顯示滿電。
415	[title32][sentence]\nYou open the battery slot on the handset and\nremove your "DURAFAIL" cells.  They each still show\na full charge.	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。兩顆\n電池仍然顯示滿電。
416	[title32][sentence]\nYou open the battery slot on the handset and\nremove your "DURAFAIL" cells.  They are still\nuncharged.	[title32][sentence]\n你打開話筒的電池槽，\n取出「勁掛」電池。\n電池依然沒電。
417	[title32][sentence]\nYou pry open the battery slot on the handset and\ndiscover two phone cell batteries inside.  The power\nsource for this phone must still be active, because\nit seems to have kept the batteries fully charged.\nYou pocket the phone cells for future reference.	[title32][sentence]\n你撬開話筒的電池槽，發現\n裡面有兩顆電話電池。這支\n電話的電源想必還通著，\n因為電池一直保持滿電。\n你把電話電池收進口袋\n備用。
418	[title32][sentence]\nYou pry open the battery slot on the handset and\nonce again remove the fully-charged phone cells.\nYou again pocket them for future reference.	[title32][sentence]\n你撬開話筒的電池槽，再次\n取出滿電的電話電池，\n又把它們收進口袋備用。
419	[title32][sentence]\nYou put the phone cells into the penlight, and\nscrew on the cap.	[title32][sentence]\n你把電話電池裝進筆型\n手電筒，旋上蓋子。
420	[title32][sentence]\nYou cannot put the phone cells into the penlight\nwhile the "DURAFAIL" cells are already inside.	[title32][sentence]\n筆型手電筒裡還裝著\n「勁掛」電池，沒辦法\n再放進電話電池。
421	[title32][sentence]\nYou slip the phone cells back into the handset\nfor safekeeping.	[title32][sentence]\n你把電話電池放回話筒裡\n收好。
422	[title32][sentence]\nYou cannot put the phone cells back into the\nhandset, because the "DURAFAIL" cells are currently\ninside.	[title32][sentence]\n話筒裡目前裝著「勁掛」\n電池，沒辦法把電話電池\n放回去。
423	[title32][sentence]\nYou slip the "DURAFAIL" cells back into the penlight\nfor safekeeping, and screw on the cap.	[title32][sentence]\n你把「勁掛」電池放回\n筆型手電筒收好，\n旋上蓋子。
424	[title32][sentence]\nYou cannot return the "DURAFAIL" cells to the\npenlight while the phone cells are inside of it.	[title32][sentence]\n筆型手電筒裡還裝著\n電話電池，沒辦法把\n「勁掛」電池放回去。
425	[title32][sentence]\nYou slip the "DURAFAIL" cells into the phone\nhandset.  They fit snugly against the contacts.	[title32][sentence]\n你把「勁掛」電池裝進\n電話話筒，剛好卡緊\n接點。
